,tweet,user,location
530,"rt @kutturobin1: #oxygen support #cylinder

location : #kolkata
contact : 6291275298
( only for emergency. they will give support for 4 hou…",sukhvin50992233,London 
531,"rt @avekshawelfare: oxygen cylinder available in ahmedabad👇👇

10ltrs cylinder 200/day rent &amp; 10k deposit 
contact : +91 9879797020

verifie…",nikpatel_9,"Gujarat, India"
532,@chitraaum more power to you! feeling positive about media after watching your debate on bihar stocked up ambulance… https://t.co/egaln5zewm,Narenk90,"Pune, India"
533,"rt @pavanjourno: experts from naval dockyard, vizag repaired 2major #oxygen plants at nellore &amp;srikalahasthi this morning, bringing major b…",tdptrending,
534,"rt @shivanjalingo: 700 #oxygen beds available at
lok nayak hospital, #delhi
contact-08046820570
verified by @shivanjalingo  
at 1:17 pm on…",Gujju_Chhoro,
535,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",BasudevOfficial,India
536,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",shashank_in3,"Surat, India"
537,"gurgaon covid care centre with oxygen beds. 
8000/day. includes 24x7 nurse, meals, general medicines, teleconsulati… https://t.co/o2zublai3c",NehamsChamaria,
538,"#kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much m… https://t.co/an3lto1edk",SharmaKhemchand,Delhi
539,update for #oxygenrefilling in #delhi #delhincr #delhisos #verified by #pagcfoundation  #covidemergency2021… https://t.co/vmo7hd5zt1,PAGCfoundation,"Patna, India"
540,"rt @shivanjalingo: 50 #oxygen beds and 7 #icu with #ventilators available at
know advance neuro hospital, #lucknow
contact-9415022002
verif…",sudiepshri,DefCol Delhi-Bilaspur-India
541,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,NitinNi62947380,"Uttar Pradesh, India"
542,"rt @shivanjalingo: 700 #oxygen beds available at
lok nayak hospital, #delhi
contact-08046820570
verified by @shivanjalingo  
at 1:17 pm on…",alapati3636,"Hyderabad, India"
543,"oxygen cylinder available in ahmedabad👇👇

10ltrs cylinder 200/day rent &amp; 10k deposit 
contact : +91 9879797020

ver… https://t.co/ub23dqy397",AvekshaWelfare,India
544,"rt @vinaydokania: these lives could have been saved had modi not starved them of #oxygen.
#failendramodi #modimustresign #modimadedisaster…",Ashok45041686,Mangalore 
545,"experts from naval dockyard, vizag repaired 2major #oxygen plants at nellore &amp;srikalahasthi this morning, bringing… https://t.co/jr5bihqfmw",PavanJourno,"Hyderabad, India"
546,"700 #oxygen beds available at
lok nayak hospital, #delhi
contact-08046820570
verified by @shivanjalingo  
at 1:17 p… https://t.co/rro52djywz",shivanjalingo,
547,"rt @covidhelpchd: for #ambulance with #oxygen service 
contact : 8292710851 
location : #patna 
verified 11:08 am  16.05
#covid19 #covideme…",irfankhan_027,
548,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",bh_yogesh,"Noida, India"
549,"rt @iamrishabbiswas: 🆘 #urgent #sos
required : #icubed &amp; #oxygen
city : #siliguri
state : #westbengal
patient name : munisingh thapa
age :…",Anaya_kanojia,
550,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,arora_right,"नोएडा, भारत"
551,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",PrasunKaliB,Bangalore
552,"rt @karthi_offl: https://t.co/zh6gpkuujo 

a simple technology solution to connect #covid related “help seekers” and “donors” in a transpar…",adithya94717508,
553,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",swapnil21791910,
554,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,mrsinghCricUmp,"Mumbai, India"
555,"rt @shivanjalingo: 6 #oxygen, 2 #icu without #ventilator and 4 #isolationbeds available at #hyderabad, avasa hospital
contact-7730012233
ve…",Gujju_Chhoro,
556,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,shoyab10,
557,"rt @fights_covid19: covid-19: kashmir's #ngos step in to deliver #oxygen food and support.
the sos arrived in the dead of the night – a fra…",MigaMike,India
558,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Indianrider08,
559,"rt @shivanjalingo: 4 #oxygen beds available at 
ambedkar nagar hospital, #delhi
contact-01126052016
verified by @shivanjalingo  
at 1:09 pm…",Gujju_Chhoro,
560,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Lionking114433,"New Delhi, INDIA"
561,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,PraveenSingh764,"Mumbai, India"
562,"verified oxygen leads on 16.05.21 (please note these are changing every minute)
thread 1/2
#wbcan #covid19india… https://t.co/pkqy4gg2js",WBCAN2,"West Bengal, India"
563,"rt @jai_amma: shortage of hospital beds, icu and #oxygen beds being reported in #tamilnadu -  everyone out there needs to stay safe. in cas…",Venkprasaj,India
564,"rt @pearlkalra: oxygen concentrator 🆘- delhi/ncr same day delivery with gst bill
✅ delivery pan india

➡️ 7 litre home grade
➡️ 5 litre med…",asthakwatra,India
565,"rt @radiochinar: he mentioned about the 250 bed hospital established at rangreth &amp; other initiatives like provisioning of icu beds, #oxygen…",Jhinger47,
566,"rt @shivanjalingo: 4 #oxygen beds available at 
ambedkar nagar hospital, #delhi
contact-01126052016
verified by @shivanjalingo  
at 1:09 pm…",alapati3636,"Hyderabad, India"
567,"rt @sreekanth324: 2 #oxygen beds with #bipap available at
sri ramakrishan hospital #hyderabad
contact- 9986618040
verified 
at 11:58 am on…",AjayPSPKCult,
568,"rt @shivanjalingo: 2 #oxygen, 2 #isolation, 4 #icu with #ventilators available at pride hospital
#lucknow
contact-9169832785
verified by @s…",2t0Tango,La-c'est-La-vie-Land
569,"4 #oxygen beds available at 
ambedkar nagar hospital, #delhi
contact-01126052016
verified by @shivanjalingo  
at 1:… https://t.co/mpytwpmqls",shivanjalingo,
570,"rt @shivanjalingo: 60 #oxygen beds available at
satyavati harish chandra hospital, #delhi
contact-01127787008
verified by @shivanjalingo…",2t0Tango,La-c'est-La-vie-Land
571,"rt @shivanjalingo: 50 #oxygen beds and 7 #icu with #ventilators available at
know advance neuro hospital, #lucknow
contact-9415022002
verif…",2t0Tango,La-c'est-La-vie-Land
572,rt @concor_india: 2nd #oxygenexpress 4 #hyderabad with 80mt of #oxygen frm jamnagar arrived at @concor_india #sanathnagar terminal on 15th…,Saiganti2,"दिल्ली, भारत"
573,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",abhijit1146,India
574,"#prayagraj #verified #allahabad
12 litres oxygen cans
contact: 09305377243
verified @ 01:15 pm on may 16
💯 pure oxy… https://t.co/j1hhzeb6p7",imrishabh007,"Mumbai, India"
575,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,ilyas49paner,United Arab Emirates
576,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,MohammadHaamid,"Sydney, Australia"
577,rt @behuman00x: @wordsofdeepak @aamaadmiparty bewkoofo ko yeh samajh nahi aata ki #oxygen demand ghat gayi kyui ki cases kam hogaye ... aft…,Keh_ke_Le_Lunga,In Your Face 
578,"rt @kutturobin1: #oxygen support #cylinder

location : #kolkata
contact : 6291275298
( only for emergency. they will give support for 4 hou…",MAGICIANS987,
579,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Madan2014Madan,
580,"rt @zydushospitals: take a look to learn the self-proning techniques and practice them @ home.
although these exercises are easy &amp; simple,…",Suresh69541464,
581,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",sarkararita,Bombay
582,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,RAMESHSHAHA,RATNAGIRI - MAHARASHTRA
583,"rt @kutturobin1: #oxygen support #cylinder

location : #kolkata
contact : 6291275298
( only for emergency. they will give support for 4 hou…",gyani__babaa,Cyprus
584,"rt @concor_india: @concor_india, #oxygen tank contrs.moved by #railway across 🇮🇳 for #covid19 2 #trains 4 #andhra pradesh

1 -     40mt o2…",ConcorNcr,
585,"rt @anand_bhawan: #jaipur  somani hospital is available 
with 3 #icu beds without ventilator 
kindly #retweet as u can 
varied lead today a…",cv148,Kerala
586,"rt @anand_bhawan: #jaipur hello every one 
om hospital and trauma center have  3 bed with #ventilator  6 #icu and 12 bed with #oxygen 
vari…",cv148,Kerala
587,"rt @shivanjalingo: 4 #oxygen and 4 #icu without ventilators available at ganpati ent hospital, #jaipur
contact-8004219000
verified by @shiv…",Gujju_Chhoro,
588,"rt @manoharicon27: verified ✅  

oxygen facility, oxygen beds, regular beds &amp; icu beds available 👍🏻 spread it

#covidhelpbanglore #oxygen…",NNSaii,
589,"rt @autosandeep: #himantabiswasarma yet again rocks #oxygen #covid19india 
from state to centre to abroad: how india got #bhutan o2 supply…",autosandeep,Jaipur
590,@srivatsayb what about the #oxygen ua fathers in #maharstra wasted. what about the vaccine which was wasted by your… https://t.co/glpeloi1tj,Aayushhpurohit,
591,"rt @jai_amma: shortage of hospital beds, icu and #oxygen beds being reported in #tamilnadu -  everyone out there needs to stay safe. in cas…",SanthoshRaman6,"Chennai, India"
592,"#himantabiswasarma yet again rocks #oxygen #covid19india 
from state to centre to abroad: how india got #bhutan o2… https://t.co/sqw9l2hrf1",autosandeep,Jaipur
593,"rt @iamrishabbiswas: 🆘 #urgent #sos
required : #icubed &amp; #oxygen
city : #siliguri
state : #westbengal
patient name : munisingh thapa
age :…",Addict1dA1,"15 Yemen road, Yemen"
594,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",VeerKhokhar8,
595,"rt @concor_india: @concor_india, #oxygen tank contrs.moved by #railway across 🇮🇳 for #covid19 2 #trains 4 #andhra pradesh

1 -     40mt o2…",AmitjainfbdJain,
596,rt @concor_india: 2nd #oxygenexpress 4 #hyderabad with 80mt of #oxygen frm jamnagar arrived at @concor_india #sanathnagar terminal on 15th…,ConcorNcr,
597,@indiannavy teams from naval dockyard #visakhapatnam achieved major breakthrough in repairing two major #oxygen pla… https://t.co/fw4z5benvv,neeraj_rajput,Delhi
598,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",tiwarigaurav,New Delhi
599,"rt @vanarambh: #monsoon is at the doorstep!
#showers of #life will come down on mother #earth. surroundings will get transformed to an epic…",aniket_dumbare,
600,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",madlove_love,
601,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,@concor_india is moving #oxygen trains across india. #oxygenexpress train…",shankarmaz46,
602,"rt @shiva_tadi: we have #oxytech #oxygen #concentrator in #hyderabad for immediate delivary ,please ping me at whatsup - 8978045372",Imcckr,"Nagarkurnool, India"
603,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",manish7452,"New Delhi, India"
604,"rt @indiannavy: op #samudrasetu_ii
#indiannavy ships continue to augment the national #covidrelief efforts.
3 warships #inskochi, 
#instaba…",RutviksinhG,
605,"@drmbhama

100 #oxygen #beds are available in #jaipur

covid care centre, radha soami satsang beas, bilwa

contact:… https://t.co/ginxxl7qcv",VikasAroraAbm,"Ganganagar, India"
606,"dear @aaravseth_ .great efforts 👌

nature has given us priceless #oxygen
we need artificial oxygen because of the n… https://t.co/8673ddpbc6",BhupalPsr,"Guntur, Andhra Pradesh "
607,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Manishikanand,"Ohio, USA"
608,"rt @shivanjalingo: 50 #oxygen beds and 7 #icu with #ventilators available at
know advance neuro hospital, #lucknow
contact-9415022002
verif…",Vickster469,Boredom
609,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,dillonpunjabiG,"Arunachal Pradesh, India"
610,"rt @shivanjalingo: 4 #oxygen and 4 #icu without ventilators available at ganpati ent hospital, #jaipur
contact-8004219000
verified by @shiv…",alapati3636,"Hyderabad, India"
611,"rt @ashokgehlot51: #rajasthan now has the 4th highest active cases at 2.11 lac, which is 5.72% of the total active cases of the country. 
t…",Prithvi86773497,
612,"we have #oxytech #oxygen #concentrator in #hyderabad for immediate delivary ,please ping me at whatsup - 8978045372",Shiva_Tadi,"Hyderabad, India"
613,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,
@concor_india is moving #oxygen trains across india. #oxygenexpress trai…",ConcorW,Mumbai
614,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,rghansoli,Dream Island
615,"rt @sarswatshyam: 4 #oxygen and 4 #icu without ventilators available at ganpati ent hospital, #jaipur
contact-8004219000
verified 
at 1:02p…",TheWingsOfIndia,🇮🇳
616,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,@concor_india is moving #oxygen trains across india. #oxygenexpress train…",ConcorW,Mumbai
617,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",kapuriavishal,Ahmedabad
618,"rt @awhadspeaks: 75 people die in a government hospital in #goa without #oxygen 
not a word of criticism ?
no question asked ?
no resignati…",tapal_adv,
619,"death toll at #goa hospital mounts to 83 as eight more #covid patients die due to #oxygen shortage
https://t.co/zlqosplkaa",BaaghiTV,Pakistan
620,"rt @concorarea3: @concor_india has been moving #oxygen tank containers by rail across india for covid19
2 trains for #andhra pradesh-1. 40…",ConcorW,Mumbai
621,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,FerozeJGandhi,Urbs Primus in Indus
622,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",sugnanags,
623,"rt @vmbjp: thanks to @railminindia &amp; @piyushgoyal ji for providing kerala with 118 mt of oxygen. 

the first oxygen train to kerala arrived…",sunil2310,Bangalore
624,rt @concorarea3: 2nd consignment for #hyderabad with 80 mt of #oxygen (lmo) in 4 cryogenic tank containers of 20 mt each from jamnagar has…,ConcorW,Mumbai
625,"rt @shivanjalingo: 6 #oxygen beds, 4 #isolation beds, 2 #icu without ventilators available at
avasa hospital, #hyderabad
contact-7730012233…",26wpg,
626,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,athiramadai,"Kasaragod, India"
627,"4 #oxygen and 4 #icu without ventilators available at ganpati ent hospital, #jaipur
contact-8004219000
verified 
at 1:02pm on 16-05-21",sarswatshyam,"Jaipur, India"
628,"rt @mahendermanral: for the lack of #oxygen.  

https://t.co/9ojehvt9mr https://t.co/mt21i0ntlo",OhDearKarma,
629,"rt @fights_covid19: covid-19: kashmir's #ngos step in to deliver #oxygen food and support.
the sos arrived in the dead of the night – a fra…",MunimaOffl,22 miles away from you
630,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Supercool_Suraj,"Navi Mumbai, Maharashtra"
631,"rt @shivanjalingo: 50 #oxygen beds and 7 #icu with #ventilators available at
know advance neuro hospital, #lucknow
contact-9415022002
verif…",Sushmitav1,"Mumbai, Jharkhand India"
632,"we have branded #oxygen #concentrator  ,7 ltrs for immediate delivery ,cash and carry ,please drop message at my whatsup -8978045372",Shiva_Tadi,"Hyderabad, India"
633,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,ashishshukla106,mumbai 
634,rt @mkkannanmani: honourable leader of opposition thiru. @epstamilnadu writes to honourable prime minister thiru. @narendramodi requesting…,suryaITwing,மேட்டுப்பாளையம் 
635,"rt @badabusiness11: dont forget to join us tomorrow
16th may at dr.vivek bindra youtube channel
@drvivekbindra
@kailashkher
@vivekoberoi
@s…",TeamVivekBindra,India
636,"rt @shivanjalingo: 70+ #oxygen beds available at
acharya shree bhikshu hospital, #delhi
no-9667136071
verified by @shivanjalingo  
at 12:48…",TrinanjanChakr4,
637,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,ravinan30310294,India
638,"4 #oxygen and 4 #icu without ventilators available at ganpati ent hospital, #jaipur
contact-8004219000
verified by… https://t.co/rego9lklrp",shivanjalingo,
639,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,RajatKu95415376,"New Delhi, India"
640,rt @aiadmkofficial: honourable leader of opposition thiru. @epstamilnadu writes to honourable prime minister thiru. @narendramodi requestin…,hemanth1981998,Chidambaram
641,the department of science and technology sanctions production of oxygen concentrators built by an iit startup.… https://t.co/swwvjirzaw,KCRamamurthy_MP,Bangalore
642,"rt @shivanjalingo: 50 #oxygen beds and 7 #icu with #ventilators available at
know advance neuro hospital, #lucknow
contact-9415022002
verif…",Gujju_Chhoro,
643,"rt @shivanjalingo: 2 #oxygen, 2 #isolation, 4 #icu with #ventilators available at pride hospital
#lucknow
contact-9169832785
verified by @s…",Gujju_Chhoro,
644,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",AishwaryaSing15,India
645,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Sandeep93248761,
646,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",SanjayKewalram4,"Indore, India"
647,"so sorry!

#oxygen https://t.co/ybpcgi922s",HemrajBaghel1,"Vidisha, India"
648,"covid-19: kashmir's #ngos step in to deliver #oxygen food and support.
the sos arrived in the dead of the night – a… https://t.co/2nvdz4krok",fights_covid19,Jammu & Kashmir 
649,update for #oxygenrefilling in #delhi #delhincr #delhisos #verified by #pagcfoundation  #covidemergency2021… https://t.co/s3u648e10p,PAGCfoundation,"Patna, India"
650,"rt @anshul18515888: #varanasi #oxygen #concentrator #indiafightscorona #covidrelief 
oxygen concentrators of 5l in varanasi
• for rent, ₹80…",Aniketl9,India
651,"rt @shivanjalingo: 6 #oxygen beds, 4 #isolation beds, 2 #icu without ventilators available at
avasa hospital, #hyderabad
contact-7730012233…",ch2007sai2,vijayawada
652,"✅ #𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝   
#hyderabad
oxygen cylinder available

phone: 9966010634
location: hyderabad 

last verified 16 may,… https://t.co/s3jkfmuk01",akupofficial,
653,rt @pagcfoundation: update for #oxygenrefilling in #delhi #delhincr #delhisos #verified by #pagcfoundation  #covidemergency2021 #covid19 #c…,doctormonica_,India
654,rt @margerpltd: united together as #indiafightscovid19 with @anupmarg &amp; @margpay @marg_books @margmartindia in the nobel cause &amp; making pos…,TeamVivekBindra,India
655,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",shubhayush,"खेरली, Rajasthan"
656,"shortage of hospital beds, icu and #oxygen beds being reported in #tamilnadu -  everyone out there needs to stay sa… https://t.co/ruxeajlc5v",jai_amma,"Chennai, India"
657,rt @aiadmkofficial: honourable leader of opposition thiru. @epstamilnadu writes to honourable prime minister thiru. @narendramodi requestin…,amanojkumars,
658,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Priyanka081078,
659,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,JamanbhaiKant12,
660,rt @concor_india: 2nd #oxygenexpress 4 #hyderabad with 80mt of #oxygen frm jamnagar arrived at @concor_india #sanathnagar terminal on 15th…,Jyoti1277443661,"नई दिल्ली, भारत"
661,"#cyclonetauktae likely to intensify into very severe #cyclonicstorm: #imd
#cyclonealert #gujarat #porbandar #mahuva… https://t.co/978lryvaqo",the_news_21,"Mumbai, India"
662,"6 #oxygen, 2 #icu without #ventilator and 4 #isolationbeds available at #hyderabad, avasa hospital
contact-77300122… https://t.co/yxrtvv9tid",shivanjalingo,
663,update for #oxygenrefilling in #delhi #delhincr #delhisos #verified by #pagcfoundation  #covidemergency2021… https://t.co/5fgzx4e7yt,PAGCfoundation,"Patna, India"
664,rt @ikunalshukal: on one end we are loosing people just bcoz lack of oxygen in small villages. on ther end @ashokgehlot51 in #rajasthan is…,NonReligiousRr,lndia
665,"#varanasi #oxygen #concentrator #indiafightscorona #covidrelief 
oxygen concentrators of 5l in varanasi
• for rent,… https://t.co/dpmmsigtit",Anshul18515888,"New Delhi, India"
666,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",JKP_MBBlr,India
667,"rt @shivanjalingo: 50 #oxygen beds and 7 #icu with #ventilators available at
know advance neuro hospital, #lucknow
contact-9415022002
verif…",DRMMJOSHI1,India
668,rt @sangmaconrad: today we discussed the setting up of oxygen plants in all districts &amp; plans to set in motion the community isolation cent…,KalyanS90537963,
669,"rt @rotaractusme: ‼️oxygen refill - delhi‼️

vinayak oxygen
24x7 oxygen available

9868827510

b93, mayapuri, delhi

carry aadhaar card &amp; d…",sam_5ab,
670,"rt @poorneslakshman: reliance  எனும் corporate company 😂😂 #dmkfails
#resignstalin
#தமிழகத்தின்_முட்டாள்_முதல்வர்
#reliance
#ambani 
#diesel…",SanthoshRaman6,"Chennai, India"
671,"rt @iamdusara: 83 persons die in goa hospitals due to lack of #oxygen

but bhakts are busy tracking israel developments.

#indianlivesmatter",RubyDPMC,Delhi
672,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,radhikamadhu,
673,rt @pagcfoundation: update for #oxygenrefilling in #dehradun #uttarakhand #verified by #pagcfoundation  #covidemergency2021 #covid19 #covid…,NitinJoshi_1985,"Dehradun, India"
674,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Krish91339103,"New Delhi, India"
675,"rt @anupamrajsingh2: 2.15 lkh #trees ,mostly endemic and medicinal, to be chopped in draught prone bundelkhand. wildlife losses- huge. 5.59…",alviro07,Mumbai
676,"rt @tehseenp: first delhi gasped for #oxygen &amp; now my delhi struggles for #ventilatorbeds ! 
i speak to @teensthack on the ground reality i…",JamanbhaiKant12,
677,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",642avi,"Faridabad, India"
678,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",Rajesh40578304,
679,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,khr6655,
680,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,@concor_india is moving #oxygen trains across india. #oxygenexpress train…",RajeshMakhijan5,"New Delhi, India"
681,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Khadim_Dar,"Srinagar, Kashmir"
682,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,
@concor_india is moving #oxygen trains across india. #oxygenexpress trai…",RajeshMakhijan5,"New Delhi, India"
683,"2 #oxygen, 2 #isolation, 4 #icu with #ventilators available at pride hospital
#lucknow
contact-9169832785
verified… https://t.co/cnqeih5cuf",shivanjalingo,
684,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",rama_bhaktha,India
685,"rt @concorarea3: @concor_india has been moving #oxygen tank containers by rail across india for covid19
2 trains for #andhra pradesh-1. 40…",RajeshMakhijan5,"New Delhi, India"
686,"rt @sreekanth324: 2 #oxygen beds with #bipap available at
sri ramakrishan hospital #hyderabad
contact- 9986618040
verified 
at 11:58 am on…",mr_shannu_,"Vishakhapatnam, India"
687,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,RajeshS43716565,
688,rt @concorarea3: 2nd consignment for #hyderabad with 80 mt of #oxygen (lmo) in 4 cryogenic tank containers of 20 mt each from jamnagar has…,RajeshMakhijan5,"New Delhi, India"
689,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",nav2b,FARIDABAD
690,"rt @j_yduvnsi: free oxygen concentrator delhi/ncr... #oxygen at your door !👇👇
give a missed call-  📞022-61403615
@sonusood sir
❤❤❤❤❤ 
https…",RiteshY15653204,
691,"rt @mrraviamb: free oxygen concentrator delhi/ncr... #oxygen at your door !
give a missed call-  📞022-61403615 https://t.co/nzuc3xjqfz",RiteshY15653204,
692,"rt @rssurjewala: this is “murder” in broad day light !

• on 11th may, 26 died in goa medical college(gmc) for lack of #oxygen .

• on 13th…",SmartyAzeem4,
693,"rt @vikramdevinc: #oxygen #concentrator available in #jaipur 

contact : +919465872595

verified on 16th may at 11:20 am by @teamkohinoor @…",PilotSarkaar,"Nagaur, India"
694,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",hostusmostus,
695,"rt @bsindia: 13,169 #oxygen cylinders and 490,000 #remdesivir vials delivered to states: govt

https://t.co/udivtmm0si",Porag_Majhi,"Dhaka, Bangladesh"
696,"rt @covidresindia: ranchi oxygen cylinder refill available.
#verified 
#ranchi #oxygenrefilling #oxygen… https://t.co/tmiwz3lhrm",FilmyPlus,India
697,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",MadhukeshwarH,"Ahmedabad, India"
698,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,imChikku_,India
699,rt @newindianxpress: @gsvasu_tnie @xpresskerala @mskiranprakash kerala's first #oxygenexpress carrying 118 mt of medical #oxygen arrived at…,xpresskerala,KOCHI
700,"rt @sreekanth324: 2 #oxygen beds with #bipap available at
sri ramakrishan hospital #hyderabad
contact- 9986618040
verified 
at 11:58 am on…",ayansh1747,
701,"rt @covidresindia: ranchi oxygen cylinders available.
#verified 
#ranchi #oxygen #oxygencylinders #covid… https://t.co/dilipmjnla",FilmyPlus,India
702,"rt @radiochinar: he mentioned about the 250 bed hospital established at rangreth &amp; other initiatives like provisioning of icu beds, #oxygen…",Neerajb45388419,
703,"ranchi oxygen cylinder refill available.
#verified 
#ranchi #oxygenrefilling #oxygen
#ranchifightscorona
#covid… https://t.co/9v1vydfzrp",CovidResIndia,
704,"#dehradun

##oxygen verified lead

verified at- 11:38am (16may)

@teamuttisht 
@indunitedngo 
@thenationcare https://t.co/z2mujzrgtq",aastha09972449,
